3.5755911778002636,4.879361102606578,0.2991279858600171,3.3522421232188275,5.833614740021719,4.372948806530733,4.775444567839973,5.184570743728704,3.877651717555781;0,1,0,0,0
4.650635694724353,5.05332353328993,4.96668780687834,4.985706974231316,-0.6321170416539701,5.134070431866335,4.06485883873604,0.1597461998546108,5.527384169010535;0,1,0,0,0
0.5234665136078444,-3.315318486219737,-0.6212545430428715,4.421313404475835,3.037356055030384,0.9185304077566562,0.42466677759156146,1.1639207637098634,1.9743704683138856;1,0,1,0,1
-1.0466673264065345,4.078397098700636,2.8058569596826652,1.7332721863211065,-0.9702982129548166,0.2676015392815305,3.928910459232565,5.310021574680144,4.436928869007844;0,0,1,1,0
4.446186695996078,7.902406945515462,6.849836423297386,3.4345792378280007,3.067055008017994,4.028407751079757,2.7875727258405583,3.2851202559572243,3.758257930977088;0,1,0,0,0
2.389228547445425,4.101765304205889,4.372690143028177,5.7776636285298855,4.2637840117770915,4.237095652491222,3.371088007557197,6.114648562385355,-0.7822867879468323;0,1,0,0,0
3.489076657515196,-0.6296216889304644,0.22425635607309014,-0.1271869657439333,2.7142291583100784,7.109780247041427,2.7323677798876584,0.20446308650557654,0.34147176327868767;0,0,1,1,0
5.524882593338478,4.451387454651168,3.762099849431815,1.759968678356675,1.8945059998155895,5.7958621969316395,2.603785024610277,3.8217804391806403,3.1787331883966172;0,1,0,0,0
-0.32063702842524305,-3.0782320496574274,-5.122846320495322,0.7845421579175106,-2.0281334905755966,2.078947316390712,1.4910227240971672,2.179890730140746,2.2094458650944744;1,0,1,0,1
-0.03574337484837285,2.941422881978143,3.1208156320952463,0.685214306096372,-3.051340370972256,1.1217582225948601,2.3371171815036185,-0.002694369643398317,-0.5835746565907981;1,0,1,0,1
1.6182699769123623,2.912872331935461,1.9830765994501551,2.90515359974407,1.9915679880973067,1.9249677402129086,1.7954393996003395,4.7727132547527855,1.2638434336787399;0,0,1,1,0
-1.621865852044189,1.393241727141991,-0.5344420891620751,-2.2964288132794493,3.5670355255179995,-1.3375748297479852,-2.517273096533831,2.164105082252718,0.032651294000339066;1,0,1,0,1
6.7338106784759555,3.3021114905178517,4.806063802888281,1.8835939125761736,7.674256591291759,3.4235260561876575,6.072778333405038,5.092990839505978,5.766763062069561;0,1,0,0,0
2.126339297861869,1.3812820694174137,0.7452825213716907,5.705063009888644,2.535787057487594,3.6104744240411044,1.9711493973003527,-1.6544284497483686,-0.36334753528205566;0,0,1,1,0
2.5846099647459395,1.8962097933968303,2.6056415548683303,-0.5739828877720008,3.6397019638836428,3.736218304218051,3.1589989637924845,4.570687125423794,1.5849365354822464;0,0,1,1,0
4.292710461189786,-0.4084168344038778,-1.415303103957552,0.364334880661529,-2.1559666864697884,-1.1765247709219053,2.0874086631241404,-3.545175400180657,1.2828821781270252;1,0,1,0,1
1.1570106870305108,4.011486252222056,-0.09825752645730912,2.566146579576616,0.7401217444800468,3.6043178844313557,6.457305804741496,4.063072661929831,5.313624097737781;0,1,0,0,0
-2.3282324794369016,2.339432217925326,-1.8486487227632256,-3.7553520495719526,4.105532050303554,1.3238335630377658,0.7811110832194456,1.1689365164450853,2.5855630218122756;1,0,1,0,1
5.912116428271881,3.812021708034383,3.0395713206779904,-0.06955940886449907,1.0942073827246661,2.452280481562381,4.057624350968777,3.7323011268951825,4.793698562906377;0,0,1,1,0
-0.6968100026748184,-1.6624620114758935,3.900225154141767,1.1959142199165556,0.28883258014237756,-0.92398399761863,1.2124754266221787,-0.9518229875128178,0.21712987880114815;1,0,1,0,1
6.935293706417813,1.791820267137869,3.7596617118470457,0.10473211284831652,0.6450066799539758,2.2652121786942296,-3.486321308473384,1.7805485208062701,6.171386286649173;0,0,1,1,0
3.315889312111775,3.251673625478391,3.2572959766649143,-2.561576283714201,3.133646659298897,3.5427157736303183,-1.8301757976011892,2.0153393780174653,6.740927973504519;0,0,1,1,0
-0.6790019784701107,2.138270798988539,0.6335570017116572,2.793407100703787,2.5188558691476537,-0.37271943151829356,6.451235770786644,-0.5251884751772864,1.5121072969524287;0,0,1,1,0
2.1778936053496993,-4.06911923119306,0.16048698549875223,-2.401316160638945,-1.6428331363612967,-2.6372529675549226,-2.590048095001641,-2.011172916370821,-0.064084784806546;1,0,1,0,1
4.648492953784598,2.5213260496231777,6.7622949710644065,7.3486123675758375,3.802108838535121,1.7012848666697717,3.4348884446343826,3.885699501410975,6.872124474781645;0,1,0,0,0
2.7727516413523743,2.977731570021028,2.8564529317469205,6.264482655791455,4.451748622552015,4.339858156498582,-0.11002580842559251,2.1151871515655554,5.8535571595931;0,1,0,0,0
-2.4935837578801863,1.5105359100823312,1.0185476599156726,2.991628793632488,-0.5923893884533027,1.4601322103114274,-0.6769051847214258,1.91646325131563,0.08467696838661909;0,0,1,1,0
